[I 250903 00:06:40 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829200.368558, 'protocol': 'http', 'host': '0.0.0.0:6003', 'method': 'GET', 'uri': '/', 'version': 'HTTP/1.1', 'status_code': 404, 'content_length': '', 'referer': '', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36', 'request_time': 2.0868778228759766, 'token': '', 'param': ''}
[I 250903 00:07:04 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829224.663605, 'protocol': 'http', 'host': '0.0.0.0:6003', 'method': 'GET', 'uri': '/', 'version': 'HTTP/1.1', 'status_code': 404, 'content_length': '', 'referer': '', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36', 'request_time': 0.9996891021728516, 'token': '', 'param': ''}
[I 250903 00:10:13 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829413.874216, 'protocol': 'http', 'host': '127.0.0.1:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '237', 'referer': '', 'user_agent': 'python-requests/2.23.0', 'request_time': 5.000591278076172, 'token': '', 'param': ''}
[I 250903 00:11:32 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829492.9994373, 'protocol': 'http', 'host': '127.0.0.1:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '239', 'referer': '', 'user_agent': 'python-requests/2.23.0', 'request_time': 2.987384796142578, 'token': '', 'param': ''}
[I 250903 00:11:41 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829501.2356524, 'protocol': 'http', 'host': '127.0.0.1:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '239', 'referer': '', 'user_agent': 'python-requests/2.23.0', 'request_time': 3.006458282470703, 'token': '', 'param': ''}
[I 250903 00:11:58 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829518.1167657, 'protocol': 'http', 'host': '127.0.0.1:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '239', 'referer': '', 'user_agent': 'python-requests/2.23.0', 'request_time': 2.001047134399414, 'token': '', 'param': ''}
[I 250903 00:12:11 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829531.141977, 'protocol': 'http', 'host': '127.0.0.1:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '237', 'referer': '', 'user_agent': 'python-requests/2.23.0', 'request_time': 3.001689910888672, 'token': '', 'param': ''}
[I 250903 00:12:29 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829549.8290877, 'protocol': 'http', 'host': '127.0.0.1:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '237', 'referer': '', 'user_agent': 'python-requests/2.23.0', 'request_time': 2.984762191772461, 'token': '', 'param': ''}
[I 250903 00:12:51 accesslog:42] {'pid': 17892, 'remote_ip': '127.0.0.1', 'created_at': 1756829571.0701513, 'protocol': 'http', 'host': '0.0.0.0:6003', 'method': 'GET', 'uri': '/', 'version': 'HTTP/1.1', 'status_code': 404, 'content_length': '', 'referer': '', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36', 'request_time': 0.9980201721191406, 'token': '', 'param': ''}
[I 250903 00:20:38 accesslog:42] {'pid': 18608, 'remote_ip': '192.168.1.100', 'created_at': 1756830038.019837, 'protocol': 'http', 'host': '192.168.1.100:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '213', 'referer': '', 'user_agent': 'python-requests/2.32.5', 'request_time': 62.41011619567871, 'token': '', 'param': ''}
[I 250903 00:23:30 accesslog:42] {'pid': 18608, 'remote_ip': '192.168.1.100', 'created_at': 1756830210.7874525, 'protocol': 'http', 'host': '192.168.1.100:6003', 'method': 'POST', 'uri': '/api/cancel', 'version': 'HTTP/1.1', 'status_code': 404, 'content_length': '200', 'referer': '', 'user_agent': 'python-requests/2.32.5', 'request_time': 55.72843551635742, 'token': '', 'param': ''}
[I 250903 00:27:33 accesslog:42] {'pid': 18608, 'remote_ip': '192.168.1.100', 'created_at': 1756830453.2854755, 'protocol': 'http', 'host': '192.168.1.100:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '213', 'referer': '', 'user_agent': 'python-requests/2.32.5', 'request_time': 46.411991119384766, 'token': '', 'param': ''}
[I 250903 00:27:43 accesslog:42] {'pid': 18608, 'remote_ip': '192.168.1.100', 'created_at': 1756830463.7839196, 'protocol': 'http', 'host': '192.168.1.100:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '213', 'referer': '', 'user_agent': 'python-requests/2.32.5', 'request_time': 64.18204307556152, 'token': '', 'param': ''}
[I 250903 00:28:00 accesslog:42] {'pid': 18608, 'remote_ip': '192.168.1.100', 'created_at': 1756830480.5202868, 'protocol': 'http', 'host': '192.168.1.100:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 200, 'content_length': '213', 'referer': '', 'user_agent': 'python-requests/2.32.5', 'request_time': 45.62950134277344, 'token': '', 'param': ''}
[I 250903 00:29:34 accesslog:42] {'pid': 18608, 'remote_ip': '192.168.1.100', 'created_at': 1756830574.1222796, 'protocol': 'http', 'host': '192.168.1.100:6003', 'method': 'POST', 'uri': '/api/queue', 'version': 'HTTP/1.1', 'status_code': 500, 'content_length': '242', 'referer': '', 'user_agent': 'python-requests/2.32.5', 'request_time': 247.33400344848633, 'token': '', 'param': ''}
